"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"25305",1438541261,0.206122,484685507,0,0,2015-08-02 18:47:41,"li28_31",0.340399,0.152231,0.2262125,0.226817155172414,900,0.15,15,"aug_2015"
"25479",1438542166,0.158447,326542667,0,0,2015-08-02 19:02:46,"li28_31",0.322931,0.131836,0.215287,0.214923222857143,900,0.15,15,"aug_2015"
"25655",1438543081,0.219727,171102109,0,0,2015-08-02 19:18:01,"li28_31",0.313832,0.152231,0.219727,0.222422416184971,900,0.15,15,"aug_2015"
"25828",1438543986,0.263672,7641547,0,0,2015-08-02 19:33:06,"li28_31",0.334678,0.164428,0.224078,0.227028779069767,900,0.15,15,"aug_2015"
"26000",1438544890,0.215287,858833920,0,0,2015-08-02 19:48:10,"li28_31",0.328857,0.170199,0.236653,0.239307401129944,900,0.15,15,"aug_2015"
"26177",1438545795,0.298052,701854102,0,0,2015-08-02 20:03:15,"li28_31",0.579678,0.14575,0.244677,0.246831093023256,900,0.15,15,"aug_2015"
"26349",1438546700,0.252447,555468232,0,0,2015-08-02 20:18:20,"li28_31",0.656243,0.170199,0.228347,0.234645643274854,900,0.15,15,"aug_2015"
"26520",1438547605,0.277935,396810467,0,0,2015-08-02 20:33:25,"li28_31",0.31074,0.14575,0.236653,0.231786231213873,900,0.15,15,"aug_2015"
"26693",1438548510,0.236653,244779628,0,0,2015-08-02 20:48:30,"li28_31",0.316894,0.14575,0.232537,0.229623721590909,900,0.15,15,"aug_2015"
"26869",1438549415,0.267309,89170377,0,0,2015-08-02 21:03:35,"li28_31",0.316894,0.158447,0.228347,0.227905395209581,900,0.15,15,"aug_2015"
"27036",1438550319,0.240698,938506626,0,0,2015-08-02 21:18:39,"li28_31",0.316894,0.14575,0.224078,0.224662041176471,900,0.15,15,"aug_2015"
"27206",1438551224,0.219727,792814405,0,0,2015-08-02 21:33:44,"li28_31",0.316894,0.138967,0.224078,0.225949394285714,900,0.15,15,"aug_2015"
"27381",1438552129,0.252447,634733012,0,0,2015-08-02 21:48:49,"li28_31",0.322931,0.138967,0.219727,0.225309382352941,900,0.15,15,"aug_2015"
"27551",1438553034,0.281387,484460306,0,0,2015-08-02 22:03:54,"li28_31",0.367673,0.14575,0.219727,0.221254822857143,900,0.15,15,"aug_2015"
"27726",1438553939,0.224078,317646044,0,0,2015-08-02 22:18:59,"li28_31",0.343224,0.152231,0.228347,0.231571362068966,900,0.15,15,"aug_2015"
"27900",1438554844,0.201383,156862694,0,0,2015-08-02 22:34:04,"li28_31",0.328857,0.152231,0.224078,0.2273280625,894,0.15,15,"aug_2015"
"28076",1438555749,0.219727,109471,0,0,2015-08-02 22:49:09,"li28_31",0.313832,0.138967,0.219727,0.221387884393064,899,0.15,15,"aug_2015"
"28249",1438556653,0.175781,850292165,0,0,2015-08-02 23:04:13,"li28_31",0.307617,0.138967,0.219727,0.220514534482759,900,0.15,15,"aug_2015"
"28423",1438557558,0.181191,697741187,0,0,2015-08-02 23:19:18,"li28_31",0.307617,0.138967,0.219727,0.22277756,900,0.15,15,"aug_2015"
"28598",1438558463,0.236653,541668173,0,0,2015-08-02 23:34:23,"li28_31",0.304462,0.14575,0.219727,0.221621011428571,900,0.15,15,"aug_2015"
"28773",1438559368,0.281387,393237826,0,0,2015-08-02 23:49:28,"li28_31",0.351562,0.14575,0.215287,0.220980005681818,900,0.15,15,"aug_2015"
"28949",1438560273,0.244677,247917975,0,0,2015-08-03 00:04:33,"li28_31",0.340399,0.14575,0.232537,0.235441219101124,900,0.15,15,"aug_2015"
"29127",1438561178,0.259984,94941698,0,0,2015-08-03 00:19:38,"li28_31",0.322931,0.164428,0.2262125,0.231492652941176,899,0.15,15,"aug_2015"
"29297",1438562082,0.228347,933162019,0,0,2015-08-03 00:34:42,"li28_31",0.348805,0.14575,0.236653,0.236696824858757,900,0.15,15,"aug_2015"
